SMILES,Kow,Kowwin,Wildman-Crippen LogP
CC(C)OP(=O)(F)OC(C)C,1.17,1.2,2.914000000000001
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52,-0.68,-0.2809999999999997
NCCCC(=O)O,-3.17,-3.6,-0.1900999999999997
ClC(Cl)(Cl)Cl,2.83,2.44,2.5529
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,1.98,2.02,1.4057
CC[N+](CC)(CC)CC.[Cl-],-3.15,-2.22,-1.1131999999999982
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.83,3.73,3.271100000000001
NCC(=O)O,-3.21,-3.41,-0.9703
CC(N)C(=O)O,-2.905,-2.99,-0.5817999999999999
NC(CO)C(=O)O,-3.07,-3.46,-1.6094
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.08,3.71,4.266700000000004
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.42,7.05,5.553220000000004
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,5.07,5.64,4.828600000000004
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.44,3.29,3.1732000000000014
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.76,5.52,5.146200000000003
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.09,0.82,1.3814
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.13,4.47,4.431120000000003
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14,0.92,0.9089999999999998
OCC(O)CO,-1.76,-1.65,-1.6681
NC(CC(=O)O)C(=O)O,-3.89,-4.32,-1.127
NC(=O)CCC(N)C(=O)O,-3.64,-4.49,-1.3361999999999998
NC(CCC(=O)O)C(=O)O,-3.69,-3.83,-0.7369000000000001
NCCCCC(N)C(=O)O,-3.05,-2.99,-0.4726999999999995
NC(CSSCC(N)C(=O)O)C(=O)O,-5.08,-4.34,-0.8083999999999993
NCc1ccc(C(=O)O)cc1,1.03,0.95,0.8435000000000001
C[N+](C)(C)Cc1ccccc1.[Cl-],-2.17,-2.47,-1.1031999999999975
CCCCCCCCCCCCCCCC(=O)O,7.17,6.96,5.552300000000005
CCCCCCCCCCCCCCCCCC(=O)O,8.23,7.94,6.332500000000007
NC(N)=O,-2.11,-1.56,-0.9762000000000002
CC(C)(O)C(Cl)(Cl)Cl,2.03,2.09,2.127500000000001
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93,1.85,2.0925
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.89,0.72,1.1981
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47,2.16,1.7695999999999998
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.72,3.03,2.2131
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07,2.0,1.1849999999999998
CCC1(CC)C(=O)NC(=O)NC1=O,0.65,0.6,0.1587999999999999
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.58,1.33,1.7738999999999998
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-3.7,-4.27,-5.395599999999993
CCCC(C)(COC(N)=O)COC(N)=O,0.7,0.98,0.9834000000000004
CC(O)CO,-0.92,-0.78,-0.6405000000000001
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62,-0.68,0.4389999999999997
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,4.12,3.612600000000002
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21,2.89,2.1955
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22,-1.07,-0.5594299999999999
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0.19,0.76,1.4764399999999998
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,6.159999999999999,6.26,5.682800000000001
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.87,3.67,4.723500000000005
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,2.3,2.14,3.795500000000003
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.8,6.62,5.763040000000004
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.3,2.78,2.8499000000000025
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07,0.16,-1.0293
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.69,2.41,2.5238000000000005
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0,0.6,1.5504200000000004
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.36,3.72,4.269300000000004
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.99,3.48,4.205100000000003
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32,3.27,3.879200000000003
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,2.44,2.42,2.950700000000001
CC1=CC(=O)c2ccccc2C1=O,2.2,2.21,2.0119
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.76,3.69,3.781100000000002
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88,4.79,4.580200000000004
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.2,3.82,3.942700000000003
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,4.56,4.241000000000003
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.03,-0.39,-1.0397000000000003
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.05,-1.38,-1.9800000000000009
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-2.1,-1.84,-1.8566000000000007
CN(C)CCOC(c1ccccc1)c1ccccc1,3.27,3.11,3.3542000000000023
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.95,3.69,3.860000000000003
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.86,4.26,3.644400000000001
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45,4.09,4.005799999999999
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,-0.1,-0.3512999999999996
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,-0.23,-0.0608999999999999
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98,-1.86,-2.851899999999999
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.85,-1.28,0.2684000000000003
CCOc1cc(N)ccc1C(=O)O,0.99,1.19,1.3657
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-0.29,-0.8,-1.0602000000000005
CCN(CC)C(=O)c1cccnc1,0.33,0.52,1.5636
O=c1ccc2ccccc2[nH]1,1.26,1.32,1.5280999999999998
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,1.68,0.84,2.0128
CNCC(O)c1cccc(O)c1,-0.31,-0.21,0.645
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.14,1.99,1.7674
Cc1ccccc1OCC(O)CO,1.41,1.41,0.7270199999999998
O=C1Cc2ccccc2N1,1.16,1.04,1.1811999999999998
O=c1[nH]c2ccccc2o1,1.16,0.95,1.1211
Cc1cc(O)ccc1Cl,3.1,2.7,2.35402
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.32,2.46,3.0248000000000017
Cc1cc(C(=O)NNCc2ccccc2)no1,1.49,1.32,1.41762
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.26,-0.72,-0.8561000000000003
O=C(O)c1cccnc1,0.36,0.69,0.7797999999999999
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23,0.23,0.1899999999999998
O=NN1CCOCC1,-0.44,-0.43,0.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.5650000000000004,-2.24,0.0521999999999999
c1ccc(CC2=NCCN2)cc1,2.65,2.34,1.2308
Nc1ccc(N=Nc2ccccc2)cc1,3.41,3.19,3.6842000000000015
CN(C)c1ccc(N=Nc2ccccc2)cc1,4.58,4.29,4.168000000000003
OCCc1ccccc1,1.36,1.57,1.2214
NC(Cc1ccc(F)cc1)C(=O)O,-1.89,-1.08,0.7801
NC(Cc1ccc(O)cc1)C(=O)O,-2.26,-1.76,0.3466
CN1CC(=O)NC1=N,-1.76,-1.21,-1.01723
CCOCC,0.89,1.05,1.0428000000000002
NCCCCCC(=O)O,-2.95,-2.62,0.5901000000000001
CCCCCC=CCC=CCCCCCCCC(=O)O,7.05,7.51,5.884500000000006
CNN,-1.05,-1.0,-0.9205
CC(N)=O,-1.26,-1.16,-0.5084000000000002
CNC(=O)CSP(=S)(OC)OC,0.78,0.72,0.9829
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.3,-1.33,-0.2143999999999992
Cn1cc[nH]c1=S,-0.34,-0.49,1.08269
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.300000000000001,5.45,4.481400000000002
Cc1cc(=O)n(-c2ccccc2)n1C,0.38,0.59,1.48442
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81,4.49,4.239400000000003
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,-2.96,-2.36,-0.8174000000000006
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.68,5.06,4.495600000000004
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.9,4.64,4.249600000000004
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.22,2.2,0.9490999999999996
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.83,1.85,0.8607999999999998
NCCc1c[nH]c2ccccc12,1.55,1.27,1.6691
O=C1NCCN1c1ncc([N+](=O)[O-])s1,0.95,1.17,0.5809
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,5.28,3.7452400000000017
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.48,3.22,2.5487200000000003
CNCC(O)c1cccc(O)c1.Cl,-0.31,-3.1,1.0667999999999995
Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89,-0.46,0.0831999999999997
Nc1nc2cc(Cl)ccc2o1,2.46,2.06,2.0634
Nc1nc[nH]n1,-0.97,-0.47,-0.6131000000000002
CC(C)CC(N)C(=O)O,-1.52,-1.59,0.4443999999999999
O=C(O)c1ccc([N+](=O)[O-])cc1,1.89,1.69,1.293
CCOc1ccc(NC(C)=O)cc1,1.58,1.67,2.0437
Nc1ccccc1,0.9,1.08,1.2688
CC(N)=S,-0.26,-0.83,0.2924
NC(N)=S,-1.08,-1.31,-0.8113000000000001
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1.86,1.56,1.7542999999999995
COP(=O)(OC)OC=C(Cl)Cl,1.43,0.6,2.680400000000001
CN(C)N=O,-0.57,-0.64,0.2293999999999999
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,2.75,2.76,4.087400000000003
CNC(=O)Oc1cccc2ccccc12,2.36,2.35,2.5580000000000007
CSCCC(N)C(=O)O,-1.87,-2.41,0.1513999999999998
Nc1ccc(S(N)(=O)=O)cc1,-0.62,-0.55,-0.0837999999999999
COC(=O)C1=CCCN(C)C1,0.35,0.78,0.4213
NC(Cc1ccccc1)C(=O)O,-1.41,-1.28,0.641
NC(=O)NC(=O)Cc1ccccc1,0.87,0.7,0.4239999999999995
Cc1cccc(NC(N)=O)c1,1.29,1.25,1.4856199999999995
CNC(=O)Oc1cccc(C(C)C)c1,2.63,2.63,2.528200000000001
NCCc1ccccc1,1.41,1.34,1.1878
NC(=O)Nc1ccccc1,0.83,0.71,1.1772000000000002
COc1ccc(CC(C)N)cc1,1.77,1.84,1.5849
CCO,-0.31,-0.14,-0.0014
O=CO,-0.54,-0.46,-0.2991999999999999
CC(=O)O,-0.17,0.09,0.0908999999999999
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.13,3.86,3.1952000000000016
CCOS(=O)(=O)OCC,1.14,1.14,0.3042000000000001
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.34,2.41,1.78302
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.88,3.12,3.695900000000003
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.3,1.86,2.8716000000000017
Cc1ncc(CO)c(CO)c1O,-0.77,-0.56,0.0802199999999998
NC(=O)c1ccccc1O,1.28,1.03,0.4911
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,-2.51,-2.46,-2.5629999999999997
Nc1ccc(C(=O)O)c(O)c1,0.89,0.98,0.6726000000000001
Cc1c[nH]c(=O)[nH]c1=O,-0.62,-0.32,-0.6283800000000002
O=C(O)c1ccccc1,1.87,1.87,1.3848
O=C(O)c1cc(O)nc(O)n1,-0.83,-0.11,-0.4140000000000002
O=c1cc[nH]c(=O)[nH]1,-1.07,-0.87,-0.9368
CCCCCC=O,1.78,1.8,1.7656
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.64,0.15,1.8982
c1cnc2c(c1)ccc1cccnc12,1.78,2.29,2.7830000000000004
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2.07,1.92,2.9014000000000006
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.38,2.57,1.89532
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.55,0.08,1.0415
O=c1ccc2cc3ccoc3cc2o1,1.67,2.06,2.539200000000001
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-0.47,-0.17,0.0734999999999999
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-0.04,1.02,0.9739
Cc1cc(C)[nH]n1,1.01,1.15,1.02654
O=C1CC(=O)NC(=O)N1,-1.47,-1.25,-1.2575000000000005
CO,-0.77,-0.63,-0.3915
CC(C)O,0.05,0.28,0.3871
CC(C)=O,-0.24,-0.24,0.5952999999999999
ClC(Cl)Cl,1.97,1.52,1.9864
CS(C)=O,-1.35,-1.22,-0.0052999999999999
CS(C)(=O)=O,-1.41,-1.11,-0.3391999999999999
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14,4.03,3.7268
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.48,2.56,2.366800000000001
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.92,1.51,1.7620999999999998
O=C(O)CS,0.09,0.03,0.0008
CN(C)C=O,-1.01,-0.93,-0.2956000000000001
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,2.97,2.99,3.4925000000000024
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,5.68,7.62,5.510300000000007
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-0.09,-0.34,0.8596000000000001
ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1,4.62,5.8,5.340000000000002
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13,0.51,-0.8194999999999992
O=c1[nH]cnc2nc[nH]c12,-1.11,-1.19,-0.3538
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.17,3.08,3.8384000000000023
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.36,4.13,4.308100000000003
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-0.8,-0.56,-1.3750000000000009
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.35,1.45,0.3181000000000002
O=C(O)c1ccccc1O,2.26,2.24,1.0904000000000005
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,-0.73,-1.15,-1.0605000000000002
NC(C(=O)O)c1ccccc1,-1.7,-1.77,0.7710000000000001
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-2.17,-1.46,-1.7672000000000003
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,-0.46,-0.23,-0.8039000000000005
O=C(CBr)c1ccccc1,2.19,2.02,2.2642
NCCCC(N)C(=O)O,-4.22,-3.48,-0.8627999999999996
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.54,6.92,6.609000000000002
NC(=O)CC(N)C(=O)O,-3.82,-4.99,-1.7262999999999993
Cc1ccc(S(N)(=O)=O)cc1,0.82,0.92,0.6424200000000001
CCC(=O)c1ccc(O)cc1,2.03,1.68,1.9849
NC(Cc1cnc[nH]1)C(=O)O,-3.32,-3.22,-0.6359000000000001
CCCO,0.25,0.35,0.3887
Nc1cc[nH]c(=O)n1,-1.73,-1.47,-0.6479000000000001
O=c1nc[nH]c(=O)[nH]1,-1.87,-1.27,-1.5418
CCCCO,0.88,0.84,0.7787999999999999
CCCCCO,1.51,1.33,1.1689
c1ccccc1,2.13,1.99,1.6866
