SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61,1.62,1.7815999999999996,1.67,1.62,1.22,<rdkit.Chem.rdchem.Mol object at 0x00000184B79115B0>,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62,1.4,1.5576,1.45,1.53,1.19,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911620>,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45,2.81,2.5800000000000005,3.5,2.8,2.85,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911690>,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,5,4,2,1
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.01,3.94,3.609200000000002,4.63,3.63,3.81,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911700>,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,4,2,1
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91,6.79,6.495500000000003,7.31,6.17,6.33,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911770>,0,0,0,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2
O=C(O)c1c(Cl)cccc1Cl,2.23,2.06,2.691600000000001,3.16,2.89,2.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B79117E0>,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.13,6.11,5.737200000000003,6.11,5.41,4.85,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911850>,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16,3.52,3.7878000000000025,4.72,3.16,3.95,<rdkit.Chem.rdchem.Mol object at 0x00000184B79118C0>,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.33,-0.24,0.0877999999999994,-0.32,0.2,0.2,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911930>,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3,2.17,1.8677,2.51,2.41,2.12,<rdkit.Chem.rdchem.Mol object at 0x00000184B79119A0>,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,1
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.95,2.26,2.906000000000001,2.74,2.25,2.6,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911A10>,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,2
S=c1[nH]cnc2[nH]cnc12,0.01,-0.13,1.0154899999999998,-1.26,-0.12,0.22,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911A80>,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,2
CNCCCN1c2ccccc2CCc2ccccc21,4.9,4.8,3.5328000000000026,5.26,3.5,3.85,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911AF0>,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.92,4.95,4.168600000000003,5.75,4.76,4.77,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911B60>,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.8,5.01,3.875000000000002,5.47,3.73,4.39,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911BD0>,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.9,6.45,5.8856000000000055,6.38,4.06,5.56,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911C40>,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,4,1,2
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.41,5.2,4.894400000000004,5.19,3.77,4.74,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911CB0>,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,-1.62,-1.38,-0.3177999999999983,-5.0,1.54,0.57,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911D20>,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,2
NCCc1c[nH]c2ccc(O)cc12,0.21,0.79,1.3747,1.14,0.92,1.28,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911D90>,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,2
OCC(O)C(O)C(O)C(O)CO,-2.8,-3.01,-3.5854000000000004,-4.2,-2.5,-2.94,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911E00>,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)C(=O)C(=O)N1,-1.84,-1.04,-2.0785,1.4,-2.09,-1.35,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911E70>,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CC(=O)Oc1ccccc1C(=O)O,1.19,1.13,1.3101,1.47,1.7,1.2,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911EE0>,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
O=C(O)c1cc(Cl)ccc1Cl,2.82,2.82,2.691600000000001,3.16,2.89,2.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911F50>,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
O=C1OC(C(O)CO)C(O)=C1O,-1.85,-1.88,-1.4074,-2.68,-2.33,-1.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B7911FC0>,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Cc1ccc(C(=O)O)c(O)c1,2.99,2.79,1.3988199999999995,3.91,1.47,1.65,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912030>,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.62,1.0,1.0488,2.12,0.78,0.29,<rdkit.Chem.rdchem.Mol object at 0x00000184B79120A0>,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93,-0.64,-1.5142799999999992,-1.19,-0.66,-1.24,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912110>,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,1
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16,-1.14,-1.6835999999999995,-1.68,-0.81,-1.77,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912180>,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,1
CNC(C)C(O)c1ccccc1.Cl,-2.45,-2.2,1.7496999999999998,,,,<rdkit.Chem.rdchem.Mol object at 0x00000184B79121F0>,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OCC1OC(O)C(O)C(O)C1O,-3.24,-2.89,-3.2214000000000005,-3.11,-2.48,-2.51,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912260>,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75,4.29,3.7177000000000016,4.29,1.97,3.87,<rdkit.Chem.rdchem.Mol object at 0x00000184B79122D0>,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,2,0,1
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88,0.97,1.3404,0.97,1.72,1.13,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912340>,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.87,0.32,1.0224999999999989,0.32,1.16,0.68,<rdkit.Chem.rdchem.Mol object at 0x00000184B79123B0>,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
c1ccc2[nH]cnc2c1,1.32,1.23,1.5628999999999995,1.23,1.35,1.35,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912420>,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,2
O=c1[nH]cc(Br)c(=O)[nH]1,-0.21,-0.47,-0.1743,-0.47,-0.24,-0.56,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912490>,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1
O=c1[nH]cc(F)c(=O)[nH]1,-0.89,-0.81,-0.7977000000000001,-0.81,-0.63,-1.1,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912500>,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.67,1.73,1.2086000000000003,1.15,1.22,1.35,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912570>,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.98,0.39,0.9180999999999993,0.73,1.42,0.82,<rdkit.Chem.rdchem.Mol object at 0x00000184B79125E0>,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,4,3,1
O=C(O)c1cc(Cl)cc(Cl)c1,3.0,3.16,2.6916,3.16,2.89,2.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912650>,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NCC(O)c1ccc(O)c(O)c1,-1.24,-1.16,0.0898999999999999,-1.16,-0.06,-0.11,<rdkit.Chem.rdchem.Mol object at 0x00000184B79126C0>,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1
CNCC(O)c1ccc(O)c(O)c1,-1.2,-0.69,0.3506000000000001,-0.7,0.25,0.32,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912730>,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1
O=C(O)c1ccc(Cl)c(Cl)c1,3.25,3.16,2.6916,3.16,2.89,2.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B79127A0>,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NCCc1cnc[nH]1,-0.7,-0.73,-0.0891000000000003,-0.37,-0.34,-0.85,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912810>,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1.83,1.91,1.9309,2.25,2.21,1.72,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912880>,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,1
NCCc1ccc(O)c(O)c1,-0.98,0.38,0.5989999999999998,0.38,0.74,0.72,<rdkit.Chem.rdchem.Mol object at 0x00000184B79128F0>,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1
CC(N)Cc1ccccc1,1.76,1.76,1.5763,1.76,2.24,1.63,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912960>,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COc1ccc(NC(C)=O)cc1,1.03,1.18,1.6535999999999995,1.18,1.38,0.93,<rdkit.Chem.rdchem.Mol object at 0x00000184B79129D0>,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
CN(CCCl)CCCl,0.91,0.91,1.3958,1.53,1.94,1.65,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912A40>,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(N)=O,-0.15,-0.02,0.1016000000000002,-0.02,0.11,0.16,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912AB0>,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.52,2.88,4.852300000000005,3.14,3.77,3.59,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912B20>,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,5,4,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.4,2.14,2.1284,2.2,1.92,1.57,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912B90>,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,0
S=P(N1CC1)(N1CC1)N1CC1,0.53,0.61,0.1577000000000001,1.87,0.55,-0.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912C00>,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=P(O)(O)O,-1.4,-1.01,0.5724999999999998,,,,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912C70>,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,1
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1.77,2.3,1.2492,2.49,1.35,1.74,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912CE0>,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15,1.31,0.491,1.5,0.69,0.88,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912D50>,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
O=C1NC(=O)C2(CCCCC2)C(=O)N1,0.91,0.98,0.3029,1.17,0.57,0.83,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912DC0>,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
O=C1NC(=S)NC(=O)C12CCCCC2,1.78,1.85,0.4677999999999995,1.55,0.54,1.73,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912E30>,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
NC1(C(=O)O)CCCC1,-2.28,-1.67,0.3424999999999997,-1.67,0.15,0.28,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912EA0>,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,4.8,5.093080000000005,5.83,3.23,5.53,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912F10>,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,2
CC(C)(S)C(N)C(=O)O,-1.78,-2.18,0.1066999999999998,-2.18,0.16,0.06,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912F80>,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51,0.42,2.1609000000000003,-0.28,0.49,0.75,<rdkit.Chem.rdchem.Mol object at 0x00000184B7912FF0>,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.23,1.99,1.833,2.64,1.17,1.91,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913060>,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.3,4.2,4.425600000000004,4.2,3.74,3.89,<rdkit.Chem.rdchem.Mol object at 0x00000184B79130D0>,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
NC(CS)C(=O)O,-2.49,-3.05,-0.6719000000000002,-3.05,-0.7,-0.52,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913140>,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46,1.59,1.7658,0.94,1.44,1.01,<rdkit.Chem.rdchem.Mol object at 0x00000184B79131B0>,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47,1.81,1.9898,1.16,1.53,1.03,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913220>,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.13,3.43,3.817400000000003,4.12,3.54,3.77,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913290>,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,2,1
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69,3.07,3.959100000000003,3.41,3.8,3.45,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913300>,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23,2.98,3.879200000000002,3.32,3.7,3.2,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913370>,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,2.94,3.04,4.662800000000004,,,,<rdkit.Chem.rdchem.Mol object at 0x00000184B79133E0>,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.75,6.7,6.299400000000003,6.7,5.78,5.46,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913450>,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,5
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03,-0.28,-0.7936999999999959,-2.07,-0.06,-0.21,<rdkit.Chem.rdchem.Mol object at 0x00000184B79134C0>,0,1,0,1,0,0,1,1,5,2,0,0,0,0,0,0,2,0,4,0,1,0,1,4,1,3
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,4.23,3.927320000000004,4.32,3.51,4.21,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913530>,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,3
COc1cc(CCN)cc(OC)c1OC,0.78,0.85,1.2136000000000002,1.58,1.12,1.21,<rdkit.Chem.rdchem.Mol object at 0x00000184B79135A0>,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.63,4.5,4.810600000000004,4.33,3.51,4.38,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913610>,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,2
CN1CCCC1c1cccnc1,1.17,1.0,1.8483,1.52,1.27,1.24,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913680>,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.0550000000000002,-1.22,1.1223,-1.22,0.87,1.25,<rdkit.Chem.rdchem.Mol object at 0x00000184B79136F0>,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04,0.1,0.0819999999999999,0.1,0.12,-0.11,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913760>,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,1,0,1
O=C([O-])c1ccccc1O.[Na+],-1.43,-1.49,-3.240299999999999,,,,<rdkit.Chem.rdchem.Mol object at 0x00000184B79137D0>,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14,-2.26,-3.4569,-2.62,-1.96,-2.57,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913840>,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,3,1,0,0,0,2,1,1
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03,2.32,1.8907000000000005,1.6,0.84,1.75,<rdkit.Chem.rdchem.Mol object at 0x00000184B79138B0>,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.17,3.37,2.9841200000000017,3.37,2.89,3.4,<rdkit.Chem.rdchem.Mol object at 0x00000184B7913920>,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
