SMILES,Kow,Kowwin,Wildman-Crippen LogP
O=C1NC=C(F)C(=O)N1,-0.89,-0.81,-0.7977000000000001
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,1.67,1.73,1.2086000000000003
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,0.98,0.39,0.9180999999999993
OC(=O)c1cc(Cl)cc(Cl)c1,3.0,3.16,2.6916
NC[C@H](O)c1cc(O)c(O)cc1,-1.24,-1.16,0.08989999999999992
CNC[C@H](O)c1cc(O)c(O)cc1,-1.2,-0.69,0.35060000000000013
OC(=O)c1cc(Cl)c(Cl)cc1,3.25,3.16,2.6916
NCCc1c[n]c[nH]1,-0.7,-0.73,-0.08910000000000035
CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(CO)c1ccccc1,1.83,1.91,1.9309
NCCc1cc(O)c(O)cc1,-0.98,0.38,0.5989999999999998
C[C@H](N)Cc1ccccc1,1.76,1.76,1.5763
CC(=O)Nc1ccc(cc1)OC,1.03,1.18,1.6535999999999997
CN(CCCl)CCCl,0.91,0.91,1.3958
CCOC(N)=O,-0.15,-0.02,0.10160000000000025
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]43CCC(=O)O4)[C@@H]21,2.52,2.88,4.852300000000005
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,2.4,2.14,2.1284
S=P(N1CC1)(N1CC1)N1CC1,0.53,0.61,0.15770000000000017
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C.OP(O)(O)=O,-1.4,-1.01,0.5724999999999998
CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,1.77,2.3,1.2491999999999999
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15,1.31,0.491
C1(=O)NC(=O)C2(CCCCC2)C(=O)N1,0.91,0.98,0.3029
O=C1NC(=S)NC(=O)C21CCCCC2,1.78,1.85,0.46779999999999955
NC1(CCCC1)C(O)=O,-2.28,-1.67,0.34249999999999975
CN(CCc1cc(OC)c(cc1)OC)CCCC(C#N)(C(C)C)c1cc(OC)c(cc1)OC,3.79,4.8,5.093080000000005
CC(C)(S)[C@@H](N)C(O)=O,-1.78,-2.18,0.10669999999999985
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51,0.42,2.1609000000000003
CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC,2.23,1.99,1.8330000000000002
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,4.3,4.2,4.425600000000004
N[C@@H](CS)C(O)=O,-2.49,-3.05,-0.6719000000000002
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.46,1.59,1.7658
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.47,1.81,1.9898000000000002
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,3.13,3.43,3.817400000000003
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,3.69,3.07,3.959100000000003
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,3.23,2.98,3.8792000000000026
Cl.CN(C)CCCN1c2ccccc2Sc2ccccc12,2.94,3.04,4.662800000000004
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.75,6.7,6.299400000000003
CN(C)c1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](NC(=O)[C@@H](N)Cc2ccc(cc2)OC)[C@H]1O,0.03,-0.28,-0.7936999999999959
Cc1c(CC(O)=O)c2cc(ccc2[n]1C(=O)c1ccc(Cl)cc1)OC,4.27,4.23,3.9273200000000035
COc1c(cc(CCN)cc1OC)OC,0.78,0.85,1.2136000000000002
CC(CCCN(CC)CC)Nc1cc[n]c2cc(Cl)ccc21,4.63,4.5,4.810600000000004
CN1CCC[C@H]1c1c[n]ccc1,1.17,1.0,1.8483
NC(Cc1c[nH]c2ccccc21)C(O)=O,-1.0550000000000002,-1.22,1.1223
O=C1NC=C(C(=O)N1)C(F)(F)F,0.04,0.1,0.08199999999999996
[Na+].[O-]C(=O)c1ccccc1O,-1.43,-1.49,-3.240299999999999
OCC1OC(C(O)C1O)N2N=CC(=O)NC2=O,-2.14,-2.26,-3.4569
NS(=O)(=O)c1cc(C(O)=O)c(cc1Cl)NCc1ccco1,2.03,2.32,1.8907000000000003
Cc1cc(OCCN(C)C)c(cc1OC(C)=O)C(C)C,3.17,3.37,2.9841200000000017
O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(I)C(=O)NC1=O,-0.96,-0.38,-1.2181
C[C@H](N)[C@H](O)c1cc(O)ccc1,-0.27,-0.26,0.7728000000000002
CC(C)NCC(O)c1ccc2ccccc2c1,3.0,2.35,2.871200000000001
NNC(=O)c1cc[n]cc1,-0.7,-0.81,-0.3149000000000006
O=C(CCBr)N1CCN(CC1)C(=O)CCBr,0.42,0.25,1.2272
CC(C)NNC(=O)c1cc[n]cc1,0.37,0.56,0.7243999999999996
C1CCCC[n]2[n][n][n]c21,0.14,0.87,0.39949999999999986
CCN(CC)N=O,0.48,0.34,1.0095999999999998
NC(=O)c1ccccc1,0.64,0.74,0.7855000000000001
OC(=O)c1cc[n]cc1,0.32,0.69,0.7797999999999999
Cc1cc(ccc1SC)OP(=S)(OC)OC,4.09,4.08,3.6130200000000023
N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,0.08,4.85,4.175280000000002
[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,1.62,1.51,-1.0200999999999996
CC(C)OP(=O)(F)OC(C)C,1.17,1.2,2.9140000000000015
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52,-0.68,-0.2809999999999997
NCCCC(O)=O,-3.17,-3.6,-0.19009999999999977
ClC(Cl)(Cl)Cl,2.83,2.44,2.5529
CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,1.98,2.02,1.4057
[Cl-].CC[N+](CC)(CC)CC,-3.15,-2.22,-1.1131999999999982
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,3.83,3.73,3.2711000000000015
NCC(O)=O,-3.21,-3.41,-0.9702999999999999
O=C(O)C(N)C,-2.905,-2.99,-0.5817999999999999
O=C(O)C(N)CO,-3.07,-3.46,-1.6094
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.08,3.71,4.266700000000004
Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,6.42,7.05,5.553220000000004
CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,5.07,5.64,4.828600000000004
COc1ccc2[n]ccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,3.44,3.29,3.1732000000000014
c1c2c3ccccc3ccc2cc2ccccc21,5.76,5.52,5.146200000000003
[O-][n+]1ccc(c2ccccc12)[N+]([O-])=O,1.09,0.82,1.3814
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,4.13,4.47,4.431120000000003
[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,1.14,0.92,0.9089999999999998
OC(CO)CO,-1.76,-1.65,-1.6681000000000001
N[C@@H](CC(O)=O)C(O)=O,-3.89,-4.32,-1.127
NC(=O)CC[C@H](N)C(O)=O,-3.64,-4.49,-1.3361999999999998
N[C@@H](CCC(O)=O)C(O)=O,-3.69,-3.83,-0.7369000000000001
NCCCC[C@H](N)C(O)=O,-3.05,-2.99,-0.4726999999999995
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-5.08,-4.34,-0.8083999999999993
NCc1ccc(cc1)C(O)=O,1.03,0.95,0.8435000000000001
[Cl-].C[N+](C)(C)Cc1ccccc1,-2.17,-2.47,-1.1031999999999975
CCCCCCCCCCCCCCCC(O)=O,7.17,6.96,5.552300000000005
CCCCCCCCCCCCCCCCCC(O)=O,8.23,7.94,6.332500000000007
NC(N)=O,-2.11,-1.56,-0.9762000000000002
CC(C)(O)C(Cl)(Cl)Cl,2.03,2.09,2.127500000000001
O=C1C[C@@H]2OCC=C3CN4CC[C@]56[C@H]([C@H]2[C@H]3C[C@@H]54)N1c1ccccc61,1.93,1.85,2.0924999999999994
CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O,0.89,0.72,1.1981
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,2.47,2.16,1.7695999999999998
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,2.72,3.03,2.2131
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07,2.0,1.1849999999999998
CCC1(CC)C(=O)NC(=O)NC1=O,0.65,0.6,0.15879999999999994
CN1CC[C@]2(C)[C@H]1N(C)c1ccc(cc21)OC(=O)NC,1.58,1.33,1.7738999999999998
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,-3.7,-4.27,-5.395599999999993
CCCC(C)(COC(N)=O)COC(N)=O,0.7,0.98,0.9834000000000005
CC(O)CO,-0.92,-0.78,-0.6405000000000001
C[C@]1(O)[C@H]2C[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1c(Cl)ccc2O)N(C)C,-0.62,-0.68,0.4389999999999997
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,3.67,4.12,3.6126000000000023
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,3.21,2.89,2.1955
Nc1ccc(cc1)S(=O)(=O)NC(N)=N,-1.22,-1.07,-0.5594299999999999
Cc1cc(C)[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,0.19,0.76,1.4764399999999998
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,6.159999999999999,6.26,5.682800000000001
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.87,3.67,4.723500000000005
O=S(CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O)c1ccccc1,2.3,2.14,3.795500000000003
Cc1c2ccc3ccccc3c2c(C)c2ccccc12,5.8,6.62,5.763040000000004
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,2.3,2.78,2.8499000000000025
CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,-0.07,0.16,-1.0293
CCc1[n]c(N)[n]c(N)c1-c1ccc(Cl)cc1,2.69,2.41,2.5238000000000005
CN(C)C1C(=O)N(c2ccccc2)N(C)C=1C,1.0,0.6,1.5504200000000004
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O,3.36,3.72,4.269300000000004
C[C@@H]1C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CC[C@H]2CC1=O,3.99,3.48,4.205100000000003
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,3.32,3.27,3.879200000000003
CNC1C[N+]([O-])=C(c2cc(Cl)ccc2N=1)c1ccccc1,2.44,2.42,2.950700000000001
CC1=CC(=O)c2ccccc2C1=O,2.2,2.21,2.0119000000000002
c1ccc2Sc3ccccc3N(CC(N(C)C)CN(C)C)c2c1,4.76,3.69,3.781100000000002
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,4.88,4.79,4.580200000000004
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,4.2,3.82,3.942700000000003
CN(C)CCCN1c2ccccc2Sc2ccccc12,4.55,4.56,4.241000000000003
CN1C(=O)c2[nH]c[n]c2N(C)C1=O,-0.03,-0.39,-1.0397000000000005
Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.05,-1.38,-1.9800000000000006
Oc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-2.1,-1.84,-1.8566000000000007
CN(C)CCOC(c1ccccc1)c1ccccc1,3.27,3.11,3.3542000000000023
COc1ccc(Cc2[n]ccc3cc(OC)c(cc32)OC)cc1OC,2.95,3.69,3.860000000000003
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.86,4.26,3.644400000000001
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45,4.09,4.005799999999999
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,-0.1,-0.35129999999999967
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,-0.23,-0.0608999999999999
O=C(N(C=CC1(=O))C(OC(C2O)CO)C2O)N1,-1.98,-1.86,-2.851899999999999
CN(Cc1c[n]c2[n]c(N)[n]c(N)c2[n]1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-1.85,-1.28,0.2684000000000003
CCOc1cc(N)ccc1C(O)=O,0.99,1.19,1.3657000000000001
O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(Br)C(=O)NC1=O,-0.29,-0.8,-1.0602000000000003
CCN(CC)C(=O)c1ccc[n]c1,0.33,0.52,1.5636
O=C1C=Cc2ccccc2N1,1.26,1.32,1.5280999999999998
Nc1ccc(cc1)S(=O)(=O)Nc1c[n]c2ccccc2[n]1,1.68,0.84,2.0128
CNC[C@H](O)c1cc(O)ccc1,-0.31,-0.21,0.645
CCN(CCOC(=O)c1ccc(N)cc1)CC,2.14,1.99,1.7673999999999999
Cc1ccccc1OCC(O)CO,1.41,1.41,0.7270199999999998
c1ccc2CC(=O)Nc2c1,1.16,1.04,1.1811999999999998
O=C(Oc(c1ccc2)c2)N1,1.16,0.95,1.1211
Cc1cc(O)ccc1Cl,3.1,2.7,2.3540200000000002
c1c(Cl)c(Cl)ccc1C(O)CNC(C)C,3.32,2.46,3.0248000000000017
n1oc(C)cc1C(=O)NNCc2ccccc2,1.49,1.32,1.41762
CC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O,-0.26,-0.72,-0.8561000000000003
OC(=O)c1ccc[n]c1,0.36,0.69,0.7797999999999999
NC(=O)N/N=C/c1ccc(o1)[N+]([O-])=O,0.23,0.23,0.18999999999999984
O=NN1CCOCC1,-0.44,-0.43,0.0
N[C@@H](Cc1cc(O)c(O)cc1)C(O)=O,-2.5650000000000004,-2.24,0.05219999999999991
C(C1NCCN=1)c1ccccc1,2.65,2.34,1.2308000000000001
Nc1ccc(cc1)/N=N/c1ccccc1,3.41,3.19,3.6842000000000015
CN(C)c1ccc(cc1)N=Nc1ccccc1,4.58,4.29,4.168000000000003
OCCc1ccccc1,1.36,1.57,1.2214
NC(Cc1ccc(F)cc1)C(O)=O,-1.89,-1.08,0.7801
N[C@@H](Cc1ccc(O)cc1)C(O)=O,-2.26,-1.76,0.3466
CN1CC(=O)NC1=N,-1.76,-1.21,-1.0172299999999999
CCOCC,0.89,1.05,1.0428000000000002
NCCCCCC(O)=O,-2.95,-2.62,0.5901000000000001
O=C(O)CCCCCCCC=CCC=CCCCCC,7.05,7.51,5.884500000000006
CNN,-1.05,-1.0,-0.9205000000000001
CC(N)=O,-1.26,-1.16,-0.5084000000000002
CNC(=O)CSP(=S)(OC)OC,0.78,0.72,0.9828999999999999
C[C@]1(O)[C@H]2C[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1cccc2O)N(C)C,-1.3,-1.33,-0.21439999999999926
CN1C=CNC1=S,-0.34,-0.49,1.08269
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",5.300000000000001,5.45,4.481400000000002
CN1C(C)=CC(=O)N1c1ccccc1,0.38,0.59,1.4844199999999999
CN(C)C(C)CN1c2ccccc2Sc2ccccc12,4.81,4.49,4.239400000000003
Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,-2.96,-2.36,-0.8174000000000006
CN(C)C[C@@H](C)CN1c2cc(ccc2Sc2ccccc12)OC,4.68,5.06,4.495600000000004
CN(C)CCCN1c2cc(ccc2Sc2ccccc12)OC,4.9,4.64,4.249600000000004
CC1(C)S[C@@H]2[C@H](NC(=O)c3c(cccc3OC)OC)C(=O)N2[C@H]1C(O)=O,1.22,2.2,0.9490999999999996
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O,1.83,1.85,0.8607999999999998
NCCc1c[nH]c2ccccc21,1.55,1.27,1.6691
[O-][N+](=O)c1c[n]c([s]1)N1CCNC1=O,0.95,1.17,0.5809
Cc1cccc(Nc2ccccc2C(O)=O)c1C,5.12,5.28,3.7452400000000017
Cc2onc(c1ccccc1Cl)c2C(=O)NC4C3SC(C)(C)C(N3C4=O)C(O)=O,2.48,3.22,2.5487200000000003
Cl.CNC[C@H](O)c1cc(O)ccc1,-0.31,-3.1,1.0667999999999997
Nc1ccc(cc1)C(=O)NCC(O)=O,-0.89,-0.46,0.08319999999999972
Nc1[n]c2cc(Cl)ccc2o1,2.46,2.06,2.0633999999999997
Nc1[n]c[nH][n]1,-0.97,-0.47,-0.6131000000000002
CC(C)C[C@H](N)C(O)=O,-1.52,-1.59,0.44439999999999996
[O-][N+](=O)c1ccc(cc1)C(O)=O,1.89,1.69,1.293
CC(=O)Nc1ccc(cc1)OCC,1.58,1.67,2.0437
Nc1ccccc1,0.9,1.08,1.2688000000000001
CC(N)=S,-0.26,-0.83,0.2924
NC(N)=S,-1.08,-1.31,-0.8113000000000001
C=CCN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O,1.86,1.56,1.7542999999999997
COP(=O)(OC=C(Cl)Cl)OC,1.43,0.6,2.6804000000000006
CN(C)N=O,-0.57,-0.64,0.22939999999999994
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,2.75,2.76,4.087400000000003
CNC(=O)Oc1cccc2ccccc21,2.36,2.35,2.5580000000000007
CSCC[C@H](N)C(O)=O,-1.87,-2.41,0.1513999999999998
Nc1ccc(cc1)S(N)(=O)=O,-0.62,-0.55,-0.08379999999999999
CN1CC(=CCC1)C(=O)OC,0.35,0.78,0.4213
N[C@@H](Cc1ccccc1)C(O)=O,-1.41,-1.28,0.641
NC(=O)NC(=O)Cc1ccccc1,0.87,0.7,0.42399999999999954
Cc1cc(ccc1)NC(N)=O,1.29,1.25,1.4856199999999997
CNC(=O)Oc1cc(ccc1)C(C)C,2.63,2.63,2.528200000000001
NCCc1ccccc1,1.41,1.34,1.1878
NC(=O)Nc1ccccc1,0.83,0.71,1.1772000000000002
COc1ccc(CC(C)N)cc1,1.77,1.84,1.5849
CCO,-0.31,-0.14,-0.0014000000000000123
OC=O,-0.54,-0.46,-0.29919999999999997
CC(O)=O,-0.17,0.09,0.09089999999999993
c1ccccc1C2(OC(=O)CC)C(C)CN(C)C(C)C2,3.13,3.86,3.1952000000000016
CCOS(=O)(=O)OCC,1.14,1.14,0.30420000000000014
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,2.34,2.41,1.78302
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,2.88,3.12,3.695900000000003
CC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2C2=CC=C(OC)C(=O)C=C21,1.3,1.86,2.8716000000000017
Cc1[n]cc(CO)c(CO)c1O,-0.77,-0.56,0.08021999999999985
NC(=O)c1ccccc1O,1.28,1.03,0.49110000000000004
O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O,-2.51,-2.46,-2.5629999999999993
Nc1cc(O)c(cc1)C(O)=O,0.89,0.98,0.6726000000000001
CC1=CNC(=O)NC1=O,-0.62,-0.32,-0.6283800000000002
OC(=O)c1ccccc1,1.87,1.87,1.3848
Oc1[n]c(cc(O)[n]1)C(O)=O,-0.83,-0.11,-0.4140000000000002
O=C1C=CNC(=O)N1,-1.07,-0.87,-0.9368000000000001
CCCCCC=O,1.78,1.8,1.7656
C1C(O)CC2(O)CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C(=O))C1,0.64,0.15,1.8982
c1cc2ccc[n]c2c2[n]cccc21,1.78,2.29,2.7830000000000004
OC1=C(CC2C(=O)Oc3ccccc3C=2O)C(=O)Oc2ccccc12,2.07,1.92,2.9014000000000006
Cc2onc(c1ccccc1)c2C(=O)NC4C3SC(C)(C)C(N3C4(=O))C(=O)(O),2.38,2.57,1.8953199999999997
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0.55,0.08,1.0414999999999999
O=C1C=Cc2cc3ccoc3cc2O1,1.67,2.06,2.539200000000001
[O-][N+](=O)c1ccc(C=NN2CC(=O)NC2=O)o1,-0.47,-0.17,0.07349999999999995
[O-][N+](=O)c1ccc(/C=N/N2CCOC2=O)o1,-0.04,1.02,0.9739
Cc1cc(C)[nH][n]1,1.01,1.15,1.02654
O=C1NC(=O)CC(=O)N1,-1.47,-1.25,-1.2575000000000003
CO,-0.77,-0.63,-0.3915
CC(C)O,0.05,0.28,0.38710000000000006
CC(C)=O,-0.24,-0.24,0.5952999999999999
ClC(Cl)Cl,1.97,1.52,1.9864
CS(C)=O,-1.35,-1.22,-0.005299999999999971
CS(C)(=O)=O,-1.41,-1.11,-0.33919999999999995
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14,4.03,3.7268
